[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 6, 0, 0, 15, 22, 2, 0, 5, 6, 5, 0, 0, 11, 0, 0, 0, 13, 0, 6, 0, 0, 15, 0, 0, 13, 2, 4, 4, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 25, 15, 0, 0, 10, 0, 24, 0, 0, 0, 0, 0, 12, 0, 0, 4, 6, 0, 3, 9, 0, 0, 7, 12, 0, 15, 0, 2, 0, 0, 19, 22, 0, 0, 0, 0, 17, 0, 4, 5, 13, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 0, 0, 0, 29, 8, 15, 0, 0, 5, 6, 0, 0, 10, 0, 0, 0, 14, 0, 5, 0, 0, 16, 0, 0, 12, 2, 4, 4, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 25, 15, 0, 0, 10, 0, 24, 0, 0, 0, 0, 0, 12, 0, 0, 4, 0, 0, 17, 0, 0, 0, 13, 6, 0, 21, 0, 0, 0, 0, 18, 23, 0, 0, 11, 0, 0, 0, 15, 0, 14, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 6, 0, 0, 15, 22, 2, 0, 5, 6, 5, 0, 0, 11, 0, 0, 0, 13, 0, 6, 0, 0, 15, 0, 0, 13, 2, 4, 4, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 11, 29, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 17, 0, 0, 0, 13, 6, 0, 21, 0, 0, 0, 0, 18, 23, 0, 0, 11, 0, 0, 0, 15, 0, 14, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 0, 0, 0, 29, 8, 15, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 18, 0, 0, 0, 26, 0, 0, 0, 0, 12, 3, 10, 20, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 13, 27, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 19, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 28, 13, 3, 0, 13, 0, 0, 0, 13, 0, 16, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 6, 0, 0, 15, 22, 2, 0, 5, 6, 5, 0, 0, 11, 0, 0, 0, 13, 0, 6, 0, 0, 15, 0, 0, 13, 2, 4, 4, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 25, 15, 0, 0, 10, 0, 24, 0, 0, 0, 0, 0, 12, 0, 0, 4, 0, 0, 17, 0, 0, 0, 13, 6, 0, 21, 0, 0, 0, 0, 18, 23, 0, 0, 11, 0, 0, 0, 15, 0, 14, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 0, 0, 0, 29, 8, 15, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 18, 0, 0, 0, 26, 0, 0, 0, 0, 12, 3, 10, 20, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 13, 27, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 19, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 28, 0, 31, 0, 0, 0, 0, 0, 13, 0, 16, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 17, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 26, 0, 33, 0, 0, 0, 0, 0, 43, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 21, 0, 12, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 21, 0, 12, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 22, 0, 0, 0, 22, 0, 0, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 11, 29, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 17, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 26, 0, 33, 0, 0, 0, 0, 0, 11, 0, 18, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 3, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 43, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 3, 10, 20, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 13, 27, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 19, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 28, 0, 31, 0, 0, 0, 0, 0, 13, 0, 16, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 22, 0, 37, 0, 0, 0, 0, 0, 7, 0, 22, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 43, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 43, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 22, 0, 37, 0, 0, 0, 0, 0, 7, 0, 22, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 22, 0, 0, 0, 22, 0, 0, 0, 0, 16, 1, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 25, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 34, 0, 25, 0, 0, 0, 0, 0, 19, 0, 12, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 3, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 36, 0, 23, 0, 0, 0, 0, 0, 43, 0, 0, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 22, 0, 0, 0, 22, 0, 0, 0, 0, 16, 1, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 25, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 34, 0, 25, 0, 0, 0, 0, 0, 19, 0, 12, 0]
[0, 0, 18, 0, 0, 15, 0, 0, 0, 20, 0, 0, 6, 0, 0, 15, 22, 2, 0, 5, 6, 5, 0, 0, 11, 0, 0, 0, 13, 0, 6, 0, 0, 15, 0, 0, 13, 2, 4, 4, 0, 0, 16, 1, 12, 18, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 25, 15, 0, 0, 10, 0, 24, 0, 0, 0, 0, 0, 12, 0, 0, 4, 0, 0, 17, 0, 0, 0, 13, 6, 0, 21, 0, 0, 0, 0, 18, 23, 0, 0, 11, 0, 0, 0, 15, 0, 14, 0]
[0, 0, 18, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 25, 12, 11, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 17, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 26, 0, 33, 0, 0, 0, 0, 0, 11, 0, 18, 0]
