[0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 19, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 27, 0, 0, 12, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0]
[0, 9, 0, 0, 20, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 21, 16, 0, 0, 0, 29, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 27, 0, 0, 0, 14, 0, 0, 18, 0, 0, 0, 19, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 27, 0, 0, 12, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 0, 0, 0, 20, 0, 0, 16, 0, 11, 0, 0, 0, 0, 28, 13, 0, 0, 0, 22, 0, 0, 0, 14, 0, 9]
[0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 41, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 24, 0, 0, 15, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 32, 0, 0, 0, 0, 7, 34, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0]
[0, 9, 0, 2, 14, 0, 7, 0, 0, 18, 0, 0, 0, 0, 0, 31, 6, 17, 0, 0, 3, 8, 0, 0, 8, 0, 4, 0, 6, 9, 0, 0, 3, 0, 15, 5, 0, 0, 18, 0, 0, 0, 12, 0, 18, 12, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 0, 21, 0, 1, 0, 7, 22, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 0, 0, 0, 10, 0, 5, 14, 0, 13, 0, 0, 0, 0, 26, 15, 0, 0, 0, 20, 0, 0, 0, 16, 0, 7]
[0, 9, 0, 0, 20, 0, 2, 0, 0, 23, 0, 0, 3, 0, 0, 18, 19, 0, 0, 0, 26, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 24, 0, 0, 0, 17, 0, 0, 15, 0, 0, 0, 22, 0, 23, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 31, 0, 10, 0, 10, 0, 0, 29, 0, 0, 0, 0, 0, 7, 0, 0, 0, 21, 0, 0, 0, 3, 0, 12, 7, 0, 20, 0, 0, 0, 0, 19, 22, 0, 0, 0, 13, 0, 9, 0, 3, 0, 20]
[0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 41, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 29, 0, 0, 10, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0]
[0, 9, 0, 0, 20, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 21, 16, 0, 0, 0, 29, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 27, 0, 0, 0, 14, 0, 8, 1, 0, 0, 19, 0, 11, 19, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 27, 0, 14, 0, 6, 0, 2, 27, 0, 0, 0, 0, 0, 9, 0, 0, 0, 19, 0, 0, 0, 5, 0, 10, 9, 0, 18, 0, 0, 0, 0, 21, 20, 0, 0, 0, 15, 0, 7, 0, 5, 0, 18]
[0, 9, 0, 2, 14, 0, 7, 0, 0, 18, 0, 0, 8, 0, 0, 13, 24, 0, 2, 3, 8, 3, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 14, 0, 4, 16, 0, 0, 7, 2, 0, 0, 18, 0, 12, 18, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 26, 0, 15, 0, 5, 0, 3, 26, 0, 0, 0, 0, 0, 10, 0, 0, 0, 18, 0, 0, 0, 6, 0, 9, 10, 0, 17, 0, 0, 0, 0, 22, 19, 0, 0, 0, 16, 0, 6, 0, 6, 0, 17]
[0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25]
[0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 41, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 29, 0, 0, 10, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0]
[0, 9, 0, 0, 20, 0, 2, 0, 0, 23, 0, 0, 3, 0, 0, 18, 19, 0, 0, 0, 26, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 24, 0, 0, 0, 17, 0, 0, 15, 0, 0, 0, 22, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 0, 18, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 11, 0, 4, 15, 0, 12, 0, 0, 0, 0, 27, 14, 0, 0, 0, 21, 0, 0, 0, 15, 0, 8]
[0, 9, 0, 0, 20, 0, 2, 0, 0, 23, 0, 0, 3, 0, 0, 18, 19, 0, 0, 0, 26, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 24, 0, 0, 0, 17, 0, 0, 15, 0, 0, 0, 22, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 0, 18, 0, 0, 21, 0, 0, 0, 0, 0, 15, 0, 0, 0, 13, 0, 0, 0, 11, 0, 4, 15, 0, 12, 0, 0, 0, 0, 27, 14, 0, 0, 0, 21, 0, 0, 0, 15, 0, 8]
