[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 14]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 19, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 9, 0, 19, 0, 14, 0, 0, 0, 0, 0, 24, 0, 0, 13, 18, 0, 0, 4]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 0, 18, 0, 0, 0, 23, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 33, 0, 1, 0, 0, 0, 0, 28, 0, 0, 0, 18, 26, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 12, 0, 0, 0, 29, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 27, 0, 6, 0, 0, 0, 0, 0, 32, 0, 0, 5, 26, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 12, 0, 0, 0, 29, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 0, 0, 6]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 12, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 6, 4, 0, 14, 0, 7, 0, 0, 12, 10, 0, 0, 0, 10, 0, 0, 0, 0, 24, 0, 0, 15, 0, 13, 0, 20, 0, 0, 0, 0, 0, 18, 0, 0, 19, 12, 0, 0, 10]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 12, 0, 0, 0, 29, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 14, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 10, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 22, 0, 0, 0, 14, 0, 0, 0, 20, 0, 0, 12, 0, 0, 0, 29, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 27, 0, 6, 0, 0, 0, 0, 23, 0, 0, 0, 23, 8, 0, 0, 14]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 3, 0, 0, 0, 0, 20, 0, 0, 0, 24, 0, 8, 0, 0, 0, 0, 8, 0, 16, 3, 18, 0, 4, 0, 0, 21, 0, 0, 0, 0, 14, 0, 0, 0, 22, 0, 0, 0, 12, 0, 8, 2, 0, 16, 0, 5, 0, 0, 14, 8, 0, 0, 0, 12, 0, 0, 0, 0, 22, 0, 0, 17, 0, 11, 0, 22, 0, 0, 0, 0, 0, 16, 0, 0, 21, 10, 0, 0, 12]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 6, 4, 0, 14, 0, 7, 0, 0, 12, 10, 0, 0, 0, 10, 0, 0, 0, 0, 24, 0, 0, 15, 0, 13, 0, 20, 0, 0, 0, 0, 9, 0, 0, 9, 17, 14, 0, 0, 8]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 0, 18, 0, 0, 0, 23, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 0, 25, 0, 8, 0, 0, 0, 0, 0, 30, 0, 0, 7, 26, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 10, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 6, 0, 6, 10, 0, 11, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 15, 0, 13, 0, 20, 0, 0, 0, 0, 0, 18, 0, 0, 19, 12, 0, 0, 10]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 3, 0, 0, 0, 0, 20, 0, 0, 0, 24, 0, 8, 0, 0, 0, 0, 8, 0, 16, 3, 18, 0, 4, 0, 0, 21, 0, 0, 0, 0, 14, 0, 0, 0, 22, 0, 0, 0, 12, 0, 8, 2, 0, 16, 0, 5, 0, 0, 14, 8, 0, 0, 0, 12, 0, 0, 0, 0, 22, 0, 0, 17, 0, 11, 0, 22, 0, 0, 0, 0, 7, 0, 0, 11, 15, 16, 0, 0, 6]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 28, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 26, 0, 16, 0, 6, 0, 0, 19, 0, 0, 0, 0, 16, 0, 0, 0, 20, 0, 0, 0, 14, 0, 6, 0, 6, 10, 0, 11, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 15, 0, 13, 0, 20, 0, 0, 0, 0, 0, 18, 0, 0, 19, 12, 0, 0, 10]
